time;V(U_a);V(U_e);
0.00583198;0.0203104;12;
0.00593198;0.0203365;12;
0.00599;0.0203104;12;
0.00599;0.0203267;10.8;
0.00599;0.0203349;8.4;
0.00599;0.0203448;6.11554;
0.00599001;0.0203688;3.92931;
0.00599001;0.0203994;1.63488;
0.00599001;0.0204283;0;
0.00599001;0.0204321;0;
0.00599001;0.0204409;0;
0.00599001;0.0204628;0;
0.00599001;0.0204909;0;
0.00599001;0.0205188;0;
0.00599001;0.0205377;0;
0.00599001;0.0205448;0;
0.00599001;0.0205382;0;
0.00599001;0.0205212;0;
0.00599001;0.0204961;0;
0.00599001;0.0204729;0;
0.00599001;0.0204511;0;
0.00599001;0.0204298;0;
0.00599001;0.0204055;0;
0.00599001;0.0203731;0;
0.00599001;0.0203446;0;
0.00599001;0.0203077;0;
0.00599001;0.0202925;0;
0.00599001;0.0202893;0;
0.00599002;0.0203057;0;
0.00599002;0.0203154;0;
0.00599002;0.0203226;0;
0.00599003;0.0203236;0;
0.00599003;0.0203235;0;
0.00599004;0.0203231;0;
0.00599004;0.0203187;0;
0.00599005;0.516491;0;
0.00599005;2.60588;0;
0.00599005;4.3693;0;
0.00599005;5.61861;0;
0.00599005;6.15152;0;
0.00599005;6.41867;0;
0.00599005;6.73215;0;
0.00599005;7.03129;0;
0.00599005;7.30701;0;
0.00599006;7.6103;0;
0.00599006;7.91555;0;
0.00599006;8.27243;0;
0.00599006;8.71414;0;
0.00599006;9.27036;0;
0.00599006;9.88928;0;
0.00599007;10.5009;0;
0.00599007;10.9849;0;
0.00599008;11.1729;0;
0.00599008;11.2641;0;
0.00599009;11.3164;0;
0.00599009;11.3459;0;
0.0059901;11.371;0;
0.00599011;11.3858;0;
0.00599012;11.3986;0;
0.00599013;11.4082;0;
0.00599015;11.4169;0;
0.00599018;11.4269;0;
0.00599024;11.4395;0;
0.00599035;11.4548;0;
0.00599059;11.4711;0;
0.00599099;11.4863;0;
0.00599175;11.5021;0;
0.00599304;11.517;0;
0.00599561;11.5332;0;
0.006;11.5485;0;
0.006;11.5484;1.2;
0.006;11.5484;3.6;
0.006;11.5484;5.76424;
0.006;11.5483;7.69715;
0.006;11.5484;9.55486;
0.006;11.5484;12;
0.006;11.5484;12;
0.006;11.5484;12;
0.006;11.5484;12;
0.006;11.5484;12;
0.006;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5484;12;
0.00600001;11.5485;12;
0.00600001;11.5485;12;
0.00600002;11.5485;12;
0.00600003;11.5485;12;
0.00600004;11.5485;12;
0.00600004;11.5485;12;
0.00600005;11.5486;12;
0.00600006;11.5486;12;
0.00600008;11.5486;12;
0.0060001;11.5487;12;
0.00600014;11.5488;12;
0.00600019;11.5489;12;
0.00600026;11.5491;12;
0.00600038;11.5494;12;
0.00600059;11.5498;12;
0.00600101;11.5508;12;
0.00600138;11.5516;12;
0.00600173;11.5524;12;
0.00600187;11.5527;12;
0.00600199;11.5529;12;
0.00600206;11.5531;12;
0.00600213;11.5532;12;
0.00600221;11.5534;12;
0.00600229;11.5535;12;
0.00600238;11.5537;12;
0.00600249;11.5539;12;
0.00600264;11.5542;12;
0.00600287;11.5547;12;
0.00600326;11.5554;12;
0.00600405;11.5569;12;
0.00600562;11.5595;12;
0.00600878;11.5642;12;
0.00601508;11.5716;12;
0.00602769;11.5821;12;
0.00605291;11.5954;12;
0.00607071;11.6017;12;
0.00609415;11.608;12;
0.00610892;0.0203813;12;
