time;V(U_a)1;V(U_o)1;
0.00309275;-6.93861;10.3423;
0.00309282;-6.93957;10.3325;
0.00309287;-6.94031;10.3218;
0.00309292;-6.94103;10.3071;
0.00309297;-6.94176;10.2863;
0.00309302;-6.9427;10.2482;
0.00309307;-6.94362;10.1938;
0.00309313;-6.94478;10.0888;
0.0030932;-6.94607;9.92646;
0.00309325;-6.94723;9.7577;
0.00309332;-6.94919;9.41192;
0.0030934;-6.95148;8.84377;
0.00309345;-6.95246;8.43589;
0.00309348;-6.9527;8.09808;
0.00309352;-6.95224;7.69207;
0.00309357;-6.95144;7.26929;
0.00309359;-6.95111;7.04327;
0.00309361;-6.95094;6.81186;
0.00309364;-6.95097;6.5267;
0.00309368;-6.95131;6.12422;
0.00309371;-6.95167;5.82267;
0.00309374;-6.95211;5.4772;
0.00309379;-6.95263;5.05431;
0.00309383;-6.95319;4.56565;
0.00309391;-6.95398;3.83095;
0.00309402;-6.95516;2.73954;
0.00309414;-6.95649;1.50984;
0.00309419;-6.95753;0.969417;
0.00309421;-6.98006;0.735371;
0.00309422;-7.0103;0.586089;
0.00309422;-7.03441;0.467946;
0.00309423;-7.04681;0.396465;
0.00309423;-7.0585;0.318363;
0.00309424;-7.06882;0.234096;
0.00309425;-7.08103;0.0871773;
0.00309426;-7.08595;-0.0765606;
0.00309428;-7.08128;-0.259621;
0.00309429;-7.06861;-0.434404;
0.0030943;-7.0533;-0.590664;
0.00309432;-7.03619;-0.755809;
0.00309433;-7.02111;-0.911754;
0.00309434;-7.00656;-1.08754;
0.00309436;-6.996;-1.24616;
0.00309437;-6.98708;-1.42152;
0.00309438;-6.98097;-1.58777;
0.0030944;-6.97673;-1.75514;
0.00309441;-6.97436;-1.89504;
0.00309442;-6.97279;-2.05191;
0.00309443;-6.97382;-2.18138;
0.00309444;-6.97805;-2.25893;
0.00309445;-6.98457;-2.35857;
0.00309445;-6.98543;-2.39522;
0.00309445;-6.98546;-2.43534;
0.00309446;-6.98515;-2.47786;
0.00309446;-6.98468;-2.52187;
0.00309447;-6.98391;-2.58104;
0.00309447;-6.98283;-2.65203;
0.00309448;-6.98134;-2.7419;
0.00309449;-6.97871;-2.89107;
0.00309451;-6.97584;-3.05235;
0.00309452;-6.97324;-3.20525;
0.00309454;-6.97095;-3.35055;
0.00309455;-6.9688;-3.50131;
0.00309457;-6.96682;-3.65779;
0.00309458;-6.96497;-3.82435;
0.0030946;-6.96324;-4.00423;
0.00309462;-6.96128;-4.2471;
0.00309464;-6.95994;-4.44582;
0.00309466;-6.95872;-4.65545;
0.00309469;-6.95734;-4.93302;
0.00309471;-6.95624;-5.19016;
0.00309475;-6.95498;-5.53165;
0.00309479;-6.9537;-5.94137;
0.00309485;-6.95208;-6.56332;
0.0030949;-6.95082;-7.13853;
0.00309497;-6.94941;-7.86241;
0.00309504;-6.94816;-8.57051;
0.00309513;-6.94661;-9.48713;
0.00309516;-6.94604;-9.83152;
0.00309518;-6.94568;-10.0516;
0.00309519;-6.94547;-10.1781;
0.0030952;-6.94521;-10.2634;
0.00309521;-6.9445;-10.3095;
0.00309522;-6.94319;-10.3341;
0.00309522;-6.94097;-10.3527;
0.00309523;-6.93883;-10.3636;
0.00309524;-6.93654;-10.3724;
0.00309525;-6.93435;-10.3797;
0.00309526;-6.93248;-10.3856;
0.00309527;-6.93068;-10.392;
0.00309529;-6.92952;-10.398;
0.00309531;-6.92924;-10.4033;
0.00309533;-6.92976;-10.4081;
0.00309535;-6.93102;-10.4129;
0.00309537;-6.93256;-10.4171;
0.0030954;-6.93415;-10.4211;
0.00309543;-6.93529;-10.4244;
0.00309546;-6.93617;-10.4277;
0.0030955;-6.93673;-10.4311;
0.00309553;-6.93695;-10.434;
0.00309557;-6.93696;-10.4364;
0.00309561;-6.93682;-10.4389;
0.00309565;-6.93657;-10.4413;
0.00309569;-6.93621;-10.4435;
0.00309574;-6.93574;-10.4457;
0.00309579;-6.93522;-10.4476;
0.00309584;-6.93464;-10.4494;
0.0030959;-6.93396;-10.4512;
0.00309596;-6.93314;-10.4531;
0.00309604;-6.93216;-10.4551;
0.00309613;-6.93096;-10.4572;
0.00309625;-6.92947;-10.4594;
0.0030964;-6.92756;-10.4618;
0.0030966;-6.92497;-10.4644;
0.00309688;-6.92125;-10.4672;
0.00309732;-6.91555;-10.4703;
0.00309802;-6.9066;-10.4733;
0.00309904;-6.89327;-10.4757;
0.00310049;-6.87458;-10.477;
0.00310212;-6.8534;-10.4775;
0.00310435;-6.82452;-10.4777;
0.00310737;-6.7855;-10.4777;
0.00311251;-6.71887;-10.4777;
0.00312187;-6.59771;-10.4777;
0.00313187;-6.46824;-10.4777;
0.00314187;-6.33878;-10.4777;
0.00315187;-6.20934;-10.4777;
0.00316187;-6.0799;-10.4776;
0.00317187;-5.95048;-10.4776;
0.00318187;-5.82108;-10.4776;
0.00319187;-5.69168;-10.4776;
0.00320187;-5.5623;-10.4776;
0.00321187;-5.43293;-10.4776;
0.00322187;-5.30358;-10.4776;
0.00323187;-5.17424;-10.4776;
0.00324187;-5.04491;-10.4776;
0.00325187;-4.91559;-10.4776;
0.00326187;-4.78629;-10.4775;
0.00327187;-4.657;-10.4775;
0.00328187;-4.52772;-10.4775;
0.00329187;-4.39846;-10.4775;
0.00330187;-4.26921;-10.4775;
0.00331187;-4.13997;-10.4775;
0.00332187;-4.01075;-10.4775;
0.00333187;-3.88154;-10.4775;
0.00334187;-3.75234;-10.4775;
0.00335187;-3.62315;-10.4775;
0.00336187;-3.49398;-10.4775;
0.00337187;-3.36482;-10.4774;
0.00338187;-3.23567;-10.4774;
0.00339187;-3.10654;-10.4774;
