time;V(/U_ein);V(U_aus);
0.552135;-0.321748;1.48947;
0.553135;-0.32769;1.79772;
0.554135;-0.33362;2.10885;
0.555135;-0.339537;2.42274;
0.556135;-0.34544;2.73942;
0.557135;-0.35133;3.05877;
0.558135;-0.357205;3.38085;
0.559135;-0.363067;3.70551;
0.560135;-0.368914;4.03281;
0.561135;-0.374747;4.36261;
0.562135;-0.380565;4.69498;
0.563135;-0.386367;5.02977;
0.564135;-0.392155;5.36704;
0.565135;-0.397927;5.70666;
0.566135;-0.403684;6.04868;
0.567135;-0.409424;6.39297;
0.568135;-0.415148;6.73958;
0.569135;-0.420856;7.08838;
0.570135;-0.426548;7.43943;
0.571135;-0.432222;7.79259;
0.572135;-0.437879;8.14792;
0.573135;-0.443519;8.50529;
0.574135;-0.449142;8.86475;
0.575135;-0.454747;9.22617;
0.576135;-0.460334;9.5896;
0.577135;-0.465903;9.95492;
0.578135;-0.471453;10.3201;
0.578615;-0.474112;10.4186;
0.579072;-0.476634;10.442;
0.579345;-0.478146;10.4484;
0.579622;-0.479674;10.4526;
0.580177;-0.482725;10.4575;
0.580833;-0.486335;10.4604;
0.581622;-0.490657;10.4621;
0.582471;-0.4953;10.4631;
0.583471;-0.500748;10.4637;
0.584471;-0.506177;10.4641;
0.585471;-0.511586;10.4645;
0.586471;-0.516975;10.4648;
0.587471;-0.522343;10.4651;
0.588471;-0.52769;10.4654;
0.589471;-0.533017;10.4657;
0.590471;-0.538323;10.466;
0.591471;-0.543607;10.4662;
0.592471;-0.54887;10.4665;
0.593471;-0.554111;10.4667;
0.594471;-0.559331;10.467;
0.595471;-0.564528;10.4673;
0.596471;-0.569703;10.4675;
0.597471;-0.574856;10.4677;
0.598471;-0.579986;10.468;
0.599471;-0.585093;10.4682;
0.600471;-0.590176;10.4684;
0.601471;-0.595237;10.4687;
0.602471;-0.600274;10.4689;
0.603471;-0.605287;10.4691;
0.604471;-0.610277;10.4693;
0.605471;-0.615242;10.4695;
0.606471;-0.620183;10.4697;
0.607471;-0.6251;10.4699;
0.608471;-0.629992;10.4701;
0.609471;-0.634859;10.4703;
0.610471;-0.639701;10.4705;
0.611471;-0.644518;10.4706;
0.612471;-0.649309;10.4708;
0.613471;-0.654075;10.471;
0.614471;-0.658815;10.4712;
0.615471;-0.663528;10.4713;
0.616471;-0.668216;10.4715;
0.617471;-0.672877;10.4716;
0.618471;-0.677512;10.4718;
0.619471;-0.68212;10.4719;
0.620471;-0.686701;10.4721;
0.621471;-0.691255;10.4722;
0.622471;-0.695782;10.4724;
0.623471;-0.700281;10.4725;
0.624471;-0.704752;10.4727;
0.625471;-0.709196;10.4728;
0.626471;-0.713612;10.4729;
0.627471;-0.717999;10.473;
0.628471;-0.722358;10.4732;
0.629471;-0.726689;10.4733;
0.630471;-0.730991;10.4734;
0.631471;-0.735264;10.4735;
0.632471;-0.739508;10.4736;
0.633471;-0.743723;10.4737;
0.634471;-0.747909;10.4739;
0.635471;-0.752065;10.474;
0.636471;-0.756191;10.4741;
0.637471;-0.760287;10.4742;
0.638471;-0.764354;10.4743;
0.639471;-0.76839;10.4743;
0.640471;-0.772396;10.4744;
0.641471;-0.776371;10.4745;
0.642471;-0.780316;10.4746;
0.643471;-0.78423;10.4747;
0.644471;-0.788113;10.4748;
0.645471;-0.791965;10.4749;
0.646471;-0.795786;10.4749;
0.647471;-0.799575;10.475;
0.648471;-0.803333;10.4751;
0.649471;-0.807059;10.4752;
0.650471;-0.810753;10.4752;
0.651471;-0.814415;10.4753;
0.652471;-0.818045;10.4754;
0.653471;-0.821642;10.4754;
0.654471;-0.825207;10.4755;
0.655471;-0.82874;10.4755;
0.656471;-0.83224;10.4756;
0.657471;-0.835707;10.4757;
0.658471;-0.839141;10.4757;
0.659471;-0.842542;10.4758;
0.660471;-0.84591;10.4758;
0.661471;-0.849244;10.4759;
0.662471;-0.852545;10.4759;
0.663471;-0.855812;10.476;
0.664471;-0.859045;10.476;
0.665471;-0.862244;10.476;
0.666471;-0.86541;10.4761;
0.667471;-0.868541;10.4761;
0.668471;-0.871638;10.4762;
0.669471;-0.8747;10.4762;
0.670471;-0.877728;10.4762;
0.671471;-0.880722;10.4763;
0.672471;-0.88368;10.4763;
0.673471;-0.886604;10.4763;
0.674471;-0.889492;10.4764;
0.675471;-0.892346;10.4764;
0.676471;-0.895164;10.4764;
0.677471;-0.897947;10.4764;
0.678471;-0.900695;10.4765;
0.679471;-0.903407;10.4765;
0.680471;-0.906083;10.4765;
0.681471;-0.908723;10.4765;
0.682471;-0.911328;10.4766;
0.683471;-0.913897;10.4766;
0.684471;-0.916429;10.4766;
0.685471;-0.918926;10.4766;
0.686471;-0.921386;10.4766;
0.687471;-0.92381;10.4766;
0.688471;-0.926197;10.4767;
0.689471;-0.928548;10.4767;
0.690471;-0.930862;10.4767;
0.691471;-0.933139;10.4767;
0.692471;-0.935379;10.4767;
0.693471;-0.937583;10.4767;
0.694471;-0.939749;10.4767;
0.695471;-0.941879;10.4767;
0.696471;-0.943971;10.4767;
0.697471;-0.946026;10.4767;
0.698471;-0.948044;10.4767;
0.699471;-0.950024;10.4767;
0.700471;-0.951967;10.4768;
0.701471;-0.953872;10.4768;
0.702471;-0.955739;10.4768;
0.703471;-0.957569;10.4768;
0.704471;-0.959361;10.4768;
0.705471;-0.961115;10.4768;
0.706471;-0.962831;10.4768;
0.707471;-0.964509;10.4768;
0.708471;-0.966149;10.4768;
0.709471;-0.967751;10.4768;
0.710471;-0.969315;10.4768;
0.711471;-0.97084;10.4768;
0.712471;-0.972327;10.4768;
0.713471;-0.973776;10.4768;
0.714471;-0.975186;10.4768;
0.715471;-0.976558;10.4768;
0.716471;-0.977891;10.4768;
0.717471;-0.979186;10.4768;
0.718471;-0.980442;10.4768;
0.719471;-0.981659;10.4768;
0.720471;-0.982837;10.4768;
0.721471;-0.983977;10.4768;
0.722471;-0.985078;10.4768;
0.723471;-0.98614;10.4768;
0.724471;-0.987163;10.4768;
0.725471;-0.988147;10.4768;
0.726471;-0.989092;10.4768;
0.727471;-0.989998;10.4768;
0.728471;-0.990865;10.4768;
0.729471;-0.991693;10.4768;
0.730471;-0.992481;10.4768;
0.731471;-0.993231;10.4768;
0.732471;-0.993941;10.4768;
0.733471;-0.994612;10.4768;
0.734471;-0.995244;10.4768;
0.735471;-0.995836;10.4768;
0.736471;-0.996389;10.4768;
0.737471;-0.996903;10.4768;
0.738471;-0.997377;10.4768;
0.739471;-0.997812;10.4768;
0.740471;-0.998208;10.4768;
0.741471;-0.998564;10.4768;
0.742471;-0.998881;10.4768;
0.743471;-0.999159;10.4768;
0.744471;-0.999397;10.4768;
0.745471;-0.999595;10.4768;
0.746471;-0.999754;10.4768;
0.747471;-0.999874;10.4768;
0.748471;-0.999954;10.4768;
0.749471;-0.999994;10.4768;
0.750471;-0.999996;10.4768;
0.751471;-0.999957;10.4768;
0.752471;-0.999879;10.4768;
0.753471;-0.999762;10.4768;
0.754471;-0.999605;10.4768;
0.755471;-0.999409;10.4768;
0.756471;-0.999174;10.4768;
0.757471;-0.998898;10.4768;
0.758471;-0.998584;10.4768;
0.759471;-0.99823;10.4768;
0.760471;-0.997837;10.4768;
0.761471;-0.997404;10.4768;
0.762471;-0.996932;10.4768;
0.763471;-0.99642;10.4768;
0.764471;-0.995869;10.4768;
0.765471;-0.995279;10.4768;
0.766471;-0.99465;10.4768;
0.767471;-0.993981;10.4768;
0.768471;-0.993273;10.4768;
0.769471;-0.992526;10.4768;
0.770471;-0.99174;10.4768;
0.771471;-0.990914;10.4768;
0.772471;-0.990049;10.4768;
0.773471;-0.989146;10.4768;
0.774471;-0.988203;10.4768;
0.775471;-0.987221;10.4768;
0.776471;-0.9862;10.4768;
0.777471;-0.985141;10.4768;
0.778471;-0.984042;10.4768;
0.779471;-0.982905;10.4768;
0.780471;-0.981729;10.4768;
0.781471;-0.980514;10.4768;
0.782471;-0.97926;10.4768;
0.783471;-0.977968;10.4768;
0.784471;-0.976637;10.4768;
0.785471;-0.975267;10.4768;
0.786471;-0.973859;10.4768;
0.787471;-0.972413;10.4768;
0.788471;-0.970928;10.4768;
0.789471;-0.969405;10.4768;
0.790471;-0.967843;10.4768;
0.791471;-0.966243;10.4768;
0.792471;-0.964606;10.4768;
0.793471;-0.96293;10.4768;
0.794471;-0.961216;10.4768;
0.795471;-0.959464;10.4768;
0.796471;-0.957674;10.4768;
0.797471;-0.955847;10.4768;
0.798471;-0.953981;10.4768;
