time	V(n001)	V(n002)
7.884317488096958e-004	3.994912e+000	1.040633e+001
7.884367488096958e-004	3.995438e+000	1.145054e+001
7.884467488096958e-004	3.996511e+000	1.179516e+001
7.884667488096958e-004	3.998706e+000	1.191920e+001
7.949217934525530e-004	4.667474e+000	1.193135e+001
8.013768380954102e-004	5.289622e+000	1.194160e+001
8.078318827382673e-004	5.865150e+000	1.194996e+001
8.142869273811244e-004	6.394058e+000	1.195643e+001
8.207419720239815e-004	6.876345e+000	1.196100e+001
8.271970166668387e-004	7.312013e+000	1.196368e+001
8.336520613096959e-004	7.701061e+000	1.196446e+001
8.389620655821571e-004	8.003721e+000	1.196696e+001
8.389720655821571e-004	8.004271e+000	1.195049e+001
8.389820655821572e-004	8.004815e+000	1.181927e+001
8.389920655821572e-004	8.005328e+000	1.108596e+001
8.390020655821573e-004	8.005670e+000	8.710904e+000
8.390220655821573e-004	8.004891e+000	1.593649e+000
8.390270655821572e-004	8.004365e+000	5.494446e-001
8.390370655821573e-004	8.003292e+000	2.048375e-001
8.390570655821573e-004	8.001098e+000	8.079614e-002
8.390970655821572e-004	7.996699e+000	6.603705e-002
8.456859048678715e-004	7.315485e+000	6.041872e-002
8.522747441535858e-004	6.682524e+000	5.519815e-002
8.588635834393001e-004	6.097814e+000	5.037532e-002
8.654524227250145e-004	5.561356e+000	4.595024e-002
8.720412620107287e-004	5.073150e+000	4.192292e-002
8.786301012964431e-004	4.633196e+000	3.829335e-002
8.852189405821573e-004	4.241494e+000	3.506152e-002
8.895440377043499e-004	3.996631e+000	3.304005e-002
8.895540377043499e-004	3.996081e+000	3.422104e-002
8.895640377043500e-004	3.995532e+000	5.188329e-002
8.895740377043500e-004	3.994988e+000	1.819094e-001
8.895840377043501e-004	3.994475e+000	9.140008e-001
8.895940377043501e-004	3.994134e+000	3.289035e+000
8.896140377043501e-004	3.994912e+000	1.040633e+001
8.896190377043501e-004	3.995438e+000	1.145054e+001
8.896290377043501e-004	3.996511e+000	1.179516e+001
8.896490377043501e-004	3.998706e+000	1.191920e+001
8.961040823472073e-004	4.667474e+000	1.193135e+001
9.025591269900645e-004	5.289622e+000	1.194160e+001
9.090141716329216e-004	5.865150e+000	1.194996e+001
9.154692162757787e-004	6.394058e+000	1.195643e+001
9.219242609186358e-004	6.876345e+000	1.196100e+001
9.283793055614930e-004	7.312013e+000	1.196368e+001
9.348343502043502e-004	7.701061e+000	1.196446e+001
9.401443544768114e-004	8.003721e+000	1.196696e+001
9.401543544768114e-004	8.004271e+000	1.195049e+001
9.401643544768115e-004	8.004815e+000	1.181927e+001
9.401743544768115e-004	8.005328e+000	1.108596e+001
9.401843544768116e-004	8.005670e+000	8.710904e+000
9.402043544768116e-004	8.004891e+000	1.593649e+000
9.402093544768115e-004	8.004365e+000	5.494446e-001
9.402193544768116e-004	8.003292e+000	2.048375e-001
9.402393544768116e-004	8.001098e+000	8.079614e-002
9.402793544768115e-004	7.996699e+000	6.603705e-002
9.468681937625257e-004	7.315485e+000	6.041872e-002
9.534570330482398e-004	6.682524e+000	5.519815e-002
9.600458723339540e-004	6.097814e+000	5.037532e-002
9.666347116196680e-004	5.561356e+000	4.595024e-002
9.732235509053821e-004	5.073150e+000	4.192292e-002
9.798123901910963e-004	4.633196e+000	3.829335e-002
9.864012294768104e-004	4.241494e+000	3.506152e-002
9.907263265990021e-004	3.996631e+000	3.304005e-002
9.907363265990021e-004	3.996081e+000	3.422104e-002
9.907463265990020e-004	3.995532e+000	5.188329e-002
9.907563265990019e-004	3.994988e+000	1.819094e-001
9.907663265990019e-004	3.994475e+000	9.140008e-001
9.907763265990018e-004	3.994134e+000	3.289035e+000
9.907963265990019e-004	3.994912e+000	1.040633e+001
9.908013265990019e-004	3.995438e+000	1.145054e+001
9.908113265990018e-004	3.996511e+000	1.179516e+001
9.908313265990019e-004	3.998706e+000	1.191920e+001
9.919850319561447e-004	4.124545e+000	1.192733e+001
9.931387373132874e-004	4.248479e+000	1.193378e+001
9.942924426704302e-004	4.370508e+000	1.193855e+001
9.954461480275729e-004	4.490631e+000	1.194165e+001
9.965998533847157e-004	4.608849e+000	1.194306e+001
9.977535587418584e-004	4.725161e+000	1.194280e+001
9.989072640990012e-004	4.839569e+000	1.194086e+001
9.998838265990011e-004	4.935065e+000	1.194165e+001
1.000000000000000e-003	4.946341e+000	1.194174e+001
