time;V(U_a);V(U_tr);
5.22351e-05;11.4157;7.92281;
5.23351e-05;11.4173;7.92765;
5.24351e-05;11.4158;7.93249;
5.25351e-05;11.4175;7.93732;
5.26351e-05;11.416;7.94214;
5.27351e-05;11.4176;7.94696;
5.28351e-05;11.4161;7.95177;
5.29351e-05;11.4178;7.95657;
5.30351e-05;11.4163;7.96136;
5.31351e-05;11.4179;7.96615;
5.32351e-05;11.4164;7.97094;
5.33351e-05;11.4181;7.97571;
5.34351e-05;11.4165;7.98048;
5.35351e-05;11.4182;7.98525;
5.36351e-05;11.4167;7.99;
5.37351e-05;11.4184;7.99475;
5.38351e-05;11.4168;7.9995;
5.39351e-05;11.4185;8.00424;
5.40351e-05;11.417;8.00897;
5.41351e-05;11.4187;8.01369;
5.42351e-05;11.4171;8.01841;
5.43351e-05;11.4188;8.02312;
5.44351e-05;11.4173;8.02783;
5.45351e-05;11.419;8.03253;
5.46351e-05;11.4174;8.03722;
5.47351e-05;11.4191;8.0419;
5.48351e-05;11.4176;8.04658;
5.49351e-05;11.4193;8.05126;
5.50351e-05;11.4177;8.05592;
5.51351e-05;11.4194;8.06058;
5.52351e-05;11.4178;8.06524;
5.53351e-05;11.4196;8.06989;
5.54351e-05;11.418;8.07453;
5.55351e-05;11.4197;8.07916;
5.56351e-05;11.4181;8.08379;
5.57351e-05;11.4198;8.08841;
5.58351e-05;11.4183;8.09303;
5.59351e-05;11.42;8.09764;
5.60351e-05;11.4184;8.10224;
5.61351e-05;11.4201;8.10684;
5.62351e-05;11.4186;8.11143;
5.63351e-05;11.4203;8.11602;
5.64351e-05;11.4187;8.1206;
5.65351e-05;11.4204;8.12517;
5.66351e-05;11.4188;8.12973;
5.67351e-05;11.4206;8.13429;
5.68351e-05;11.419;8.13885;
5.69351e-05;11.4207;8.14339;
5.70351e-05;11.4191;8.14794;
5.71351e-05;11.4209;8.15247;
5.72351e-05;11.4193;8.157;
5.73351e-05;11.421;8.16152;
5.74351e-05;11.4194;8.16604;
5.75351e-05;11.4211;8.17055;
5.76351e-05;11.4196;8.17505;
5.77351e-05;11.4213;8.17955;
5.78351e-05;11.4197;8.18404;
5.79351e-05;11.4214;8.18853;
5.80351e-05;11.4198;8.19301;
5.81351e-05;11.4216;8.19748;
5.82351e-05;11.42;8.20195;
5.83351e-05;11.4217;8.20641;
5.84351e-05;11.4201;8.21087;
5.85351e-05;11.4219;8.21532;
5.86351e-05;11.4203;8.21976;
5.87351e-05;11.422;8.2242;
5.88351e-05;11.4204;8.22863;
5.89351e-05;11.4222;8.23305;
5.90351e-05;11.4205;8.23747;
5.91351e-05;11.4223;8.24188;
5.92351e-05;11.4207;8.24629;
5.93351e-05;11.4224;8.25069;
5.94351e-05;11.4208;8.25509;
5.95351e-05;11.4226;8.25947;
5.96351e-05;11.421;8.26386;
5.97351e-05;11.4227;8.26823;
5.98351e-05;11.4211;8.27261;
5.99351e-05;11.4229;8.27697;
6.00351e-05;11.4212;8.28133;
6.01351e-05;11.423;8.28568;
6.02351e-05;11.4214;8.29003;
6.03351e-05;11.4232;8.29437;
6.04351e-05;11.4215;8.29871;
6.05351e-05;11.4233;8.30304;
6.06351e-05;11.4217;8.30736;
6.07351e-05;11.4234;8.31168;
6.08351e-05;11.4218;8.31599;
6.09351e-05;11.4236;8.32029;
6.10351e-05;11.4219;8.32459;
6.11351e-05;11.4237;8.32889;
6.12351e-05;11.4221;8.33318;
6.13351e-05;11.4239;8.33746;
6.14351e-05;11.4222;8.34174;
